name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost
Khanasutra,No,No,3.5,19,JP Nagar,,,"North Indian, South Indian, Continental",500.0
New Kabab Zone,Yes,No,2.9,51,JP Nagar,Casual Dining,,"North Indian, Chinese",500.0
SV Juice Corner,No,No,3.3,6,JP Nagar,Beverage Shop,,"Beverages, Fast Food",150.0
Aditya Uphar,No,No,3.5,30,JP Nagar,Quick Bites,,"South Indian, Chinese, North Indian",200.0
McDonald's,Yes,No,3.8,184,JP Nagar,Quick Bites,"Coffee, French Fries, Hash Brown, Cappuccino, Maharaja Mac, Wings, Tea","Burger, Fast Food",500.0
Domino's Pizza,Yes,No,4.0,319,JP Nagar,Quick Bites,"Garlic Bread, Peppy Paneer Pizza, Chocolava Cake, Cheese Burst Pizza","Pizza, Fast Food",400.0
Bramhin Tiffins,No,No,3.6,12,JP Nagar,Quick Bites,,South Indian,150.0
Subway,Yes,No,4.0,273,JP Nagar,Quick Bites,"Sandwiches, Chaat, Chicken Ham, Salads, Salad, Tea, Sandwich","Salad, Fast Food",600.0
Hotel Coorg Style,No,No,3.1,9,JP Nagar,Quick Bites,,South Indian,350.0
Ande Ka Funda,Yes,No,3.1,22,JP Nagar,Quick Bites,,"North Indian, Fast Food, Rolls",250.0
SLV Upahara,No,No,3.5,4,JP Nagar,Quick Bites,,"South Indian, North Indian",200.0
The Yellow Submarine,No,Yes,4.4,2075,Bannerghatta Road,"Microbrewery, Casual Dining","Watermelon Feta Salad, Craft Beer, Mutton Biryani, Blueberry Cheesecake, Bbq Pizza, Cocktails, Shitake Mushrooms","Continental, North Indian, Chinese, Pizza, Thai",1200.0
Shivaji Military Hotel,No,No,4.3,2486,Jayanagar,Casual Dining,"Mutton Biryani, Mutton Fry, Donne Biryani, Chicken Biryani, Chicken Fry, Mutton Chops, Dum Biryani","South Indian, Biryani",450.0
36th Cross Coffee Mane,No,No,3.7,29,BTM,Casual Dining,Biryani,"North Indian, Chinese",500.0
Stop N Joy,No,No,3.8,70,Kumaraswamy Layout,Quick Bites,,"Fast Food, Juices",200.0
S Square Family Restaurant & Bar,No,No,3.3,4,Kumaraswamy Layout,"Casual Dining, Bar",,"Continental, Chinese",800.0
New Students Corner,No,No,3.6,17,Kumaraswamy Layout,Quick Bites,,Fast Food,150.0
Campus Juice Corner,No,No,3.3,6,Kumaraswamy Layout,Quick Bites,,"Fast Food, Juices",100.0
AB's - Absolute Barbecues,No,Yes,4.6,1502,Kalyan Nagar,Casual Dining,"Sea Food, Mocktails, Paan Ice Cream, Fish, Chaat, Macaroon, Gulab Jamun","European, Mediterranean, North Indian, BBQ",1400.0
Sigree Global Grill,No,Yes,4.4,1099,Kalyan Nagar,"Casual Dining, Bar","Pasta, Mutton Seekh, Fish, Prawn Curry, Pizza, Papdi Chaat, Salad","North Indian, BBQ",1400.0
Barbeque Nation,No,Yes,4.2,1132,Kalyan Nagar,Casual Dining,"Mocktails, Fish, Gulab Jamun, Paan Kulfi, Crispy Corn, Prawn, Biryani","North Indian, European, Mediterranean, BBQ, Kebab",1600.0
Imperio Restaurant,Yes,Yes,4.5,1228,Kalyan Nagar,Casual Dining,"Non Veg Thali, Chicken Kolhapuri, Paneer Tikka, Paratha, Butter Naan, Faluda, Hot Dog","North Indian, Mughlai, Biryani, South Indian, Beverages",800.0
Zamindar,Yes,Yes,4.4,347,Kalyan Nagar,Casual Dining,"Biryani, Double Ka Meetha, Dragon Chicken, Lassi, Chicken Tikka Masala, Kodi Vepudu, Chicken Malai Tikka","Biryani, Chinese, Mughlai, Andhra",600.0
The Coorg Food Co.,Yes,Yes,4.3,473,Kalyan Nagar,Casual Dining,"Pandi Curry, Tender Coconut Pudding, Chocolate Mousse, Ghee Rice, Pork Curry, Bella Coffee, Chicken Curry",South Indian,750.0
Little Italy,Yes,Yes,4.2,405,Kalyan Nagar,Casual Dining,"Pasta, Pizza, Sangria, Bruschettas, Salads, Nachos, Chocolate Bomb","Salad, Healthy Food, Italian, Juices, Mexican, Pizza",1500.0
The Chef's Kitchen,Yes,No,3.8,311,Kalyan Nagar,Casual Dining,"Pasta, Honey Chilli Chicken, Noodles, Tandoori Chicken, Chicken Biryani, Fish, Murgh Patiala","Continental, North Indian, Chinese",800.0
4 Seasons Restaurant,Yes,Yes,3.7,399,Kalyan Nagar,Casual Dining,"Veg Pulao, Mutton Biryani, Badami Kheer, Veg Platter, Chicken Kebab, Tandoori Chicken, Stuffed Capsicum","North Indian, Seafood, Middle Eastern, Chinese",1000.0
Churrascaria Brazil,No,No,4.1,111,Kammanahalli,Casual Dining,"Salads, Pineapple Grill, Caramel Custard, Caramel Pudding, Chicken Sausages",European,1400.0
Empire Restaurant,Yes,No,4.0,3128,Kammanahalli,Casual Dining,"Alfam Chicken, Ghee Rice, Chicken Curry, Mutton Biryani, Chicken Grill, Shawarma, Fruit Salad","North Indian, Mughlai, South Indian, Chinese",750.0
Truffles,No,No,4.5,1181,Kalyan Nagar,"Cafe, Casual Dining","Burgers, Orange Mojito, Pasta, Ferrero Rocher Shake, Cheese Burger, Coffee, Chaat","Cafe, American, Burger, Steak",900.0
Cafe Azzure,Yes,Yes,4.2,559,Kalyan Nagar,Cafe,"Tex Mex Burger, Pizza, Fish, Pasta Alfredo, Mojito, Burgers, Blueberry Cheesecake","Cafe, Continental, Italian, Burger",1200.0
The Chocolate Heaven,Yes,No,4.1,399,Kalyan Nagar,"Dessert Parlor, Cafe","Waffles, Hot Chocolate, Brownie, Pizza, Coffee, Pancakes, Pasta","Desserts, Cafe, Italian, Beverages",700.0
Cafe Pink Pajamas,Yes,Yes,4.1,577,Kalyan Nagar,Cafe,"Tex Mex Burger, Pasta, Pizza, Fish, Burgers, Salads, Veg Burger","Cafe, Italian",700.0
The Roastery,No,No,4.3,167,Kalyan Nagar,Cafe,"Coffee, Caramel Macchiato, Cappuccino, Cafe Mocha, Fruit Tart, Sandwiches, Americano",Cafe,500.0
The Pipe Rack,No,No,3.9,35,Kalyan Nagar,Casual Dining,,Cafe,700.0
Artville Cafe,No,No,3.8,92,Kalyan Nagar,Cafe,"Sandwiches, Salad, Schnitzel, Beef Burger, Hot Chocolate, White Sauce Pasta, Chicken Sandwich",Cafe,700.0
Eunoia,No,No,3.9,19,Kalyan Nagar,"Cafe, Bakery",,"Cafe, Continental, Bakery",450.0
An Egg Story,No,No,4.0,241,Kalyan Nagar,Cafe,"Healthy Breakfast, Burgers, Omelette, English Breakfast, Sandwiches, Pancakes, Crepe","Cafe, Continental, American, Italian",600.0
RawStraw,Yes,No,4.1,172,Kalyan Nagar,Cafe,"Ginger Tea, Waffles, Smoothie Bowl, Egg Salad, Pancakes, Salads, Cheesecake","Continental, Thai, Arabian, Mexican",700.0
Draggers CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.1,274,Kalyan Nagar,Cafe,"Club Sandwich, Burgers, Basil Chicken, Pasta, Sandwiches, Mojito, Fries","Cafe, Continental, North Indian",900.0
Fragrant Kitchen,No,No,3.8,110,Kalyan Nagar,"Casual Dining, Cafe","Burgers, Pasta, Hot Dog, Mashed Potato, Plum Cake, Sunday Brunch, Cheesecake","North Indian, Chinese, Cafe, Desserts",700.0
Brew Bakes Cafe,Yes,No,3.7,46,Kalyan Nagar,Cafe,"Coffee, Maggi",Cafe,500.0
Alter Ego D'Deli,Yes,No,3.8,140,Kalyan Nagar,Cafe,"Pizza, Burgers, Chicken Pasta, Minestrone Soup, French Onion Soup, Hot Dog, Coffee","Cafe, Continental, Italian, Burger, Pizza, Salad, Steak",650.0
