name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost
Tibbs Frankie,No,No,3.8,24,Brigade Road,Quick Bites,,"Street Food, Rolls",200.0
Ghar Ki Rasoi,Yes,No,3.1,48,Indiranagar,Delivery,,"North Indian, Chinese, Italian",500.0
Gelato Italiano,Yes,No,3.0,40,Brigade Road,Dessert Parlor,"Belgian Chocolate, Waffle Cone, Tiramisu","Ice Cream, Bakery, Desserts",200.0
OCEA HOTEL,Yes,No,3.7,279,Brigade Road,Casual Dining,"Sea Food, Fish, Murgh Ghee Roast, Crabmeat Soup, Jeera Rice, Prawn, Chicken Grill","North Indian, Chinese, Seafood",800.0
Vietnamese Kitchen,Yes,Yes,4.1,523,Indiranagar,Casual Dining,"Pho, Pad Thai, Jasmine Tea, Spring Roll, Chocolate Shake, Thai Green Curry, Momos","Chinese, Vietnamese, Momos, Thai",800.0
L'inoui,Yes,No,4.1,33,Cunningham Road,Dessert Parlor,,Desserts,400.0
Troll,Yes,No,3.8,102,Indiranagar,Dessert Parlor,"Ice Cream Roll, Oreo Ice Cream, Rolls, Chocolate Peanut Butter, Nutella Cookie","Desserts, Ice Cream",300.0
Bhavani Sri,Yes,No,3.0,110,Indiranagar,Casual Dining,Chicken Biryani,"Andhra, Biryani, Seafood",700.0
Meaza Ginger Multi Cuisine Restaurant,Yes,No,3.6,91,Indiranagar,Casual Dining,"Biryani, Chicken Curry, Kerala Parotta, Appam, Chicken Grill","North Indian, Chinese, South Indian, Kerala",550.0
Mamma Mexicana,Yes,Yes,2.2,406,MG Road,Casual Dining,"Nachos, Pizza, Margarita, Mushroom Soup, Tacos, Tortilla Soup, Chicken Burritos",Mexican,1000.0
The Jungle Terrace,Yes,No,3.5,13,Brigade Road,Casual Dining,,"Continental, Mexican, Lebanese",600.0
Roll Junction,Yes,No,2.9,56,Cunningham Road,Quick Bites,,"Fast Food, Rolls",150.0
Chutney Chang,Yes,Yes,4.2,4732,Church Street,Casual Dining,"Chaat, Chocolate Wonton, Apple Pie, Raj Kachori, Caramel Custard, Momos, Chicken Curry","North Indian, Chinese, BBQ",1500.0
Amritsari Kulcha Bite,Yes,No,3.9,101,Ulsoor,Quick Bites,"Lassi, Amritsari Kulcha, Chole",North Indian,150.0
Delices,Yes,No,3.1,6,Ulsoor,Bakery,,"Bakery, Desserts",400.0
Meenu Oota Da Maane,Yes,No,3.2,23,Brigade Road,Casual Dining,,"Seafood, Mangalorean, Chinese",700.0
Gobble Up Churros Cafe,Yes,No,3.8,37,Ulsoor,Casual Dining,"Churros, Empanadas","Beverages, Cafe, Desserts, Spanish, Bakery",400.0
Tempura Restaurant,No,No,3.9,122,Brigade Road,Casual Dining,"Chicken Manchurian, Thukpa, Chicken Momo, Veg Momos, Tea, Veg Thupka","Japanese, Chinese, Tibetan, Momos",500.0
Choi Choi Momos,No,No,3.8,29,Brigade Road,Kiosk,,"Chinese, Fast Food, Momos",300.0
Shalimar,Yes,No,4.0,153,Indiranagar,Casual Dining,"Sea Food, Murgh Ghee Roast, Masala Peanuts, Beer, Roti","North Indian, Chinese, Seafood",700.0
Deshi Fusion Pizza,Yes,No,3.3,73,Old Madras Road,Delivery,Pizza,"Pizza, Chinese, Rolls",750.0
Indira Darshini,Yes,No,3.6,27,Frazer Town,Quick Bites,,"South Indian, Chinese",200.0
Aagaman Veg,Yes,No,4.0,558,Indiranagar,Casual Dining,"Jalebi, Lunch Buffet, Dal Kichadi, Panneer Butter Masala, Crispy Corn, Dal Makhani, Gulab Jamun","North Indian, Chinese, South Indian",900.0
Salt Mango Tree,Yes,Yes,4.1,247,Indiranagar,Casual Dining,"Kerala Parotta, Appam, Buttermilk, Biryani, Chicken Fry, Beef Fry, Fish Curry",Kerala,800.0
MISU,Yes,Yes,4.6,1211,St. Marks Road,"Casual Dining, Bar","Sushi, Dumplings, Khau Suey, Noodles, Cocktails, Virgin Mojito, Drunken Beef","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",1700.0
RockSalt,Yes,Yes,4.4,484,St. Marks Road,"Bar, Casual Dining","Roti, Cocktails, Chicken Biryani, Paratha, Dahi Ke Kabab, Jalebi, Chicken Tikka",Modern Indian,1900.0
The Rice Bowl,Yes,Yes,4.3,500,Lavelle Road,"Casual Dining, Bar","Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken","Chinese, Momos",1300.0
South Inn,Yes,No,3.1,24,Frazer Town,Quick Bites,,South Indian,150.0
Pathy's Kitchen,Yes,No,3.5,21,Indiranagar,Quick Bites,,Andhra,500.0
Happy Fillings,Yes,No,3.4,8,Ulsoor,Quick Bites,,Chinese,300.0
Rotti Mane,Yes,No,3.4,11,Domlur,Quick Bites,,South Indian,200.0
Shezan,Yes,No,4.1,391,Cunningham Road,Casual Dining,"Mudpie, Butter Naan, Mutton Biryani, Kulfi, Steak, Sweet Corn Soup, Beef Chilli","Chinese, Continental, North Indian, Mughlai, Steak",600.0
Oye Amritsar,Yes,Yes,4.1,450,Church Street,Casual Dining,"Lassi, Aloo Paratha, Jalebi, Palak Paneer, Cheese Naan",North Indian,1000.0
Croons,No,No,3.8,26,Brigade Road,Dessert Parlor,,Desserts,350.0
MiniMelts,No,No,3.9,66,Brigade Road,Dessert Parlor,,"Ice Cream, Desserts",200.0
Tandoor,Yes,Yes,3.9,1361,MG Road,Fine Dining,"Mutton Biryani, Dal Makhani, Chicken Malai Tikka, Paneer Makhani, Faluda, Jal-jeera, Cocktails",North Indian,2100.0
Feast India Co.,Yes,No,4.2,133,Cunningham Road,Casual Dining,"Naan, Phirni, Sheermal, Rasmalai, Chicken Tikka, Paneer Tikka, Galauti Kebab","Awadhi, Bengali, North Indian",1500.0
Hotel Green Tara,No,No,3.9,39,Brigade Road,Casual Dining,Momos,"Chinese, Tibetan, Momos",500.0
The Biere Club,Yes,Yes,4.3,3484,Lavelle Road,"Pub, Microbrewery","Wheat Beer, Pizza, Cocktails, Virgin Sangria, Pork Chops, Craft Beer, Meatballs","Continental, BBQ, Finger Food",1700.0
Bangalore Mandarin,Yes,No,4.2,974,Indiranagar,Casual Dining,"Lime Soda, Crispy Chicken, Kung Pao Chicken, Hakka Noodles, Veg Manchow Soup, Clear Soup, Singapore Noodles","Chinese, Seafood",1100.0
Rolls On Wheels,No,No,3.5,45,Brigade Road,Quick Bites,,"Fast Food, Rolls, Momos",300.0
Mahesh Lunch Home,Yes,Yes,4.1,860,Residency Road,Casual Dining,"Sea Food, Neer Dosa, Crab Ghee Roast, Jumbo Prawns, Thali, Crab Butter, Crab Masala","Seafood, Mangalorean, North Indian, Chinese",1400.0
Bheema's,Yes,No,4.0,779,Church Street,Casual Dining,"Thali, Mutton Biryani, Mutton Fry, Chilli Chicken, Chicken Biryani, Andhra Meal, Vegetable Biryani",Andhra,650.0
Hatti Punjab Di,No,No,3.4,8,Brigade Road,Quick Bites,"Tandoori Chicken, Butter Chicken, Garlic Naan",North Indian,450.0
Dine In,No,No,3.6,8,Brigade Road,Quick Bites,,"Kerala, South Indian, North Indian, Chinese",400.0
Chung Wah,Yes,No,4.0,360,Residency Road,Casual Dining,"Jasmine Tea, Spring Roll, Golden Fried Prawns, Hakka Noodles, Hunan Chicken Gravy, Drunken Chicken Wings, Dragon Rolls","Chinese, Thai, Momos, Vietnamese",1000.0
Mad Over Biryani,Yes,No,2.9,17,Church Street,Quick Bites,,"Biryani, North Indian",600.0
Danny Lambas Punjabi Dhaba,Yes,No,3.5,98,Indiranagar,Casual Dining,"Tandoori Chicken, Paneer Makhani, Mutton Roganjosh, Paratha, Aloo Jeera, Butter Chicken","North Indian, Chinese, Biryani",600.0
Shiv Sager,No,No,3.0,10,Brigade Road,Food Court,,"South Indian, North Indian, Chinese",200.0
The Charcoal Factory,Yes,No,4.1,290,Koramangala 6th Block,Quick Bites,"Burgers, Cheesy Pizza, Chips, Fries, Rice Bowl, White Sauce Pasta, Chicken Wings","Burger, Pizza, Momos",600.0
Chung's Chinese Corner,Yes,No,3.3,201,Cunningham Road,Casual Dining,"Noodles, Honey Chilli Chicken, Crispy Chilli Chicken",Chinese,700.0
Kenny's Restaurant,Yes,No,3.6,31,Frazer Town,Quick Bites,,"Chinese, North Indian",450.0
Fat Buddha,Yes,Yes,4.0,455,Cunningham Road,Casual Dining,"Crab Soup, Noodles, Wine, Spicy Crabmeat Soup, Manchow Soup, Momos, Sea Food","Chinese, Thai",1000.0
Teppan Japanese Grill & Sushi Bar,Yes,No,4.3,901,Ulsoor,Casual Dining,"Maki Roll, Jumbo Prawns, Fish, Rolls, Sashimi, Miso Soup, Maki Sushi",Japanese,2000.0
New Prashanth Hotel,Yes,No,3.7,50,Majestic,Casual Dining,"Biryani, Ragi Mudde, Chicken Curry","South Indian, Biryani, Chinese, North Indian",750.0
Midnight Eats,Yes,No,3.0,114,Frazer Town,Delivery,,"North Indian, Chinese",500.0
The Only Place,Yes,Yes,4.2,2923,Church Street,Casual Dining,"Steak, Burgers, Meatballs, Apple Pie, Salads, Bruschettas, Chicken Sizzler","Italian, American, Steak, Continental, BBQ, Salad",1000.0
Anupam's Coast II Coast,Yes,Yes,4.1,853,Church Street,Casual Dining,"Murgh Ghee Roast, Sea Food, Neer Dosa, Fish, Prawn Ghee Roast, Appam, Ghee Roast Paneer","Seafood, Mangalorean, North Indian, Chinese",1400.0
BabaYaga's,Yes,Yes,4.1,207,Indiranagar,"Bar, Casual Dining","Cocktails, Masala Fries, Chicken Wings, Beer, Onion Rings, Pizza, Nachos","American, Finger Food",1500.0
Venkateshwara Foods,Yes,No,3.0,13,Residency Road,"Takeaway, Delivery",,"Street Food, South Indian",400.0
Ramana's,Yes,Yes,4.0,378,Cunningham Road,Casual Dining,"Palak Soup, Mushroom Masala, Dal Makhani, Kebab Platter, Jal-jeera, Mushroom Soup, Roti","North Indian, Chinese, Healthy Food",850.0
McLeans Italian Pizzeria,Yes,No,3.4,30,Ejipura,Delivery,,"American, Pizza",500.0
The Konkan - Seafood Restaurant,Yes,Yes,4.4,218,St. Marks Road,Casual Dining,"Sea Food, Murgh Ghee Roast, Mocktails, Stuffed Pomfret, Sol Kadhi, Kokum Juice, Coconut Rice","Seafood, Konkan, Mangalorean",850.0
Hotel Tom's Restaurant,Yes,Yes,4.4,712,Richmond Road,Casual Dining,"Appam, Sea Food, Fry Prawns, Dal Fry, Chicken Curry, Fish, Murgh Ghee Roast","Mangalorean, Seafood, Chinese, North Indian",1000.0
The Bong,Yes,No,3.1,38,Frazer Town,Quick Bites,,"Bengali, North Indian",300.0
Fujan,Yes,No,3.6,54,Frazer Town,Casual Dining,Chicken Noodle,"Chinese, Thai, Seafood",600.0
Raaga,Yes,Yes,3.8,297,Indiranagar,Casual Dining,"Panner Tikka, Gajar Ka Halwa, Chicken Biryani, Thali, Lunch Buffet, Raita, Tandoori Aloo","North Indian, Chinese, Continental",1200.0
The Food Dude,Yes,No,4.0,176,Koramangala 6th Block,Delivery,"Pizza, Burgers, Pasta, Chilli Paneer","Fast Food, Burger, Sandwich, Pizza",300.0
Lazio Steaks & More,Yes,No,3.9,118,Frazer Town,Casual Dining,"Burgers, Beef Steak, Mutton Biryani, Pie, Mudpie, Cheesecake, Chicken Wings","Continental, Chinese, Steak",1000.0
The Humming Tree,Yes,No,4.0,2418,Indiranagar,Lounge,"Sangria, Chicken Salad, Sandwiches, Cocktails, Pizza, Gnocchi, Chicken Satay","Fast Food, European",1400.0
Woodstok,Yes,Yes,4.1,1053,Indiranagar,"Takeaway, Delivery","Buffalo Chicken Wings, Chips, Peri Peri Prawn, Cocktails, Mocktails, Pizza, Mushroom Soup","Continental, Italian, Steak, American",1400.0
ASEAN - On The Edge,Yes,Yes,4.4,861,MG Road,Casual Dining,"Cocktails, Khao Suey, Mocktails, Salad, Malacca Curry, Beer, Beef Pho","Asian, Thai",1800.0
Chung Shan Chinese Restaurant,Yes,No,3.7,32,Ejipura,Quick Bites,,"Chinese, Momos",500.0
Monsoon Express,Yes,No,3.4,7,MG Road,"Takeaway, Delivery",,"Continental, Thai, North Indian",1600.0
Friends Night Kitchen,Yes,No,3.8,109,Koramangala 6th Block,"Takeaway, Delivery","Pizza, Burgers, Cheese Burger, Garlic Bread","Italian, Pizza",400.0
Navab's,Yes,No,3.6,10,Frazer Town,Delivery,,Mughlai,600.0
Marathi Biriyani House,Yes,No,3.3,6,Frazer Town,Quick Bites,,"South Indian, Biryani",300.0
Retro Lounge Bar,No,Yes,3.8,108,Ulsoor,Bar,"Pepper Prawns, Fries, Chicken Biryani","North Indian, Chinese",1400.0
Kick Out the Jams,Yes,No,4.0,528,Ejipura,Delivery,"Burgers, Pizza, Bacon Burger, Wings, Cheesecake, Chicken Burger, Pepperoni","Burger, American, Italian",350.0
Xian,Yes,Yes,3.8,81,Ulsoor,Casual Dining,Noodles,"Chinese, Thai",800.0
Kulfi Point,No,No,3.4,5,Indiranagar,Dessert Parlor,,Desserts,150.0
8 Slice,Yes,No,3.7,74,Koramangala 6th Block,Delivery,,Pizza,600.0
Crescent Avenue - Hotel Bangalore International,Yes,No,3.6,41,Race Course Road,Casual Dining,,"North Indian, Continental, Chinese, Asian, Thai",1400.0
New Kudla Family Resturant,Yes,No,3.2,4,MG Road,Quick Bites,,"North Indian, Chinese",450.0
Mummy Dhaba,Yes,No,3.2,46,Ulsoor,Quick Bites,Dal Makhani,North Indian,300.0
Benjarong,Yes,No,4.2,858,Ulsoor,Casual Dining,"Tom Yum Soup, Cocktails, Jasmine Rice, Clear Soup, Sea Food, Pad Thai, Lemongrass Tea","Thai, Asian",1800.0
Midnight Hunger Solutions 24/7,Yes,No,2.1,252,Indiranagar,Delivery,"Mutton Biryani, Chilli Paneer, Chicken Biryani","North Indian, Mughlai, Chinese",500.0
Ente Keralam,Yes,No,4.0,1096,Ulsoor,Casual Dining,"Appam, Fish, Mutton Stew, Cocktails, Egg Roast, Prawn Curry, Chicken Stew","Kerala, Seafood",1300.0
Donne Biryani Mane,Yes,No,3.2,7,Wilson Garden,Quick Bites,,Biryani,300.0
Nagarjuna,No,No,4.3,1773,Residency Road,Casual Dining,"Mutton Biryani, Chicken Biryani, Hyderabadi Biryani, Andhra Biryani, Mutton Keema Balls, Thali, Raita","Andhra, Biryani",800.0
Sunny's,No,Yes,4.1,1327,Lavelle Road,"Casual Dining, Bar","Penne Pasta, Pizza, Cocktails, Salads, Risotto, Sea Food, Crab Cake","European, Italian, Seafood, Continental",2100.0
Little Chef,No,No,4.0,101,Richmond Road,Casual Dining,"Dragon Chicken, Hunan Chicken",Chinese,550.0
Rawal Jalebi,Yes,No,3.5,10,Commercial Street,Dessert Parlor,,Desserts,100.0
Gundappa Donne Biryani,No,No,3.7,160,St. Marks Road,Quick Bites,"Mutton Biryani, Chilli Chicken, Pepper Chicken, Chicken Fry, Donne Chicken Biryani, Chicken Guntur, Chicken Kebab",Biryani,300.0
Nandhini Paradise,No,Yes,3.6,277,St. Marks Road,"Casual Dining, Bar","Murgh Ghee Roast, Veg Thali, Chicken Chettinad, Chicken Kshatriya, Mutton Chops, Hyderabadi Biryani, Roti","Andhra, Chinese, North Indian",800.0
Aathithya,No,No,3.1,16,Infantry Road,Casual Dining,,"North Indian, Continental, Chinese",1100.0
Nagashree's,No,No,2.9,46,Shanti Nagar,Casual Dining,"Biryani, Mutton Chops","South Indian, North Indian, Fast Food",550.0
Express Food Delivery,No,No,2.8,38,Ulsoor,Delivery,,"North Indian, Chinese",500.0
Gowdara Naati Mane,No,No,3.4,7,Residency Road,Quick Bites,,"South Indian, Biryani, Mangalorean",500.0
Kamat's Palate Korner,No,No,4.1,121,Richmond Road,Casual Dining,"Butter Chicken, Jeera Rice, Dal Makhani, Butter Naan, Tandoori Chicken, Rumali Roti, Panneer Butter Masala","North Indian, Chinese",600.0
Bhagini Icon Boutique Hotel,Yes,No,3.1,6,Indiranagar,Casual Dining,,"South Indian, North Indian, Continental",600.0
Kaulige Millet Corner,Yes,No,4.0,32,Brigade Road,Quick Bites,,"Healthy Food, South Indian",300.0
Ice & Spice,Yes,No,3.0,96,Frazer Town,"Takeaway, Delivery",,"Continental, Pizza, Fast Food",650.0
Homemade Food,Yes,No,3.8,24,Indiranagar,Takeaway,,South Indian,200.0
In Wok,Yes,No,3.6,118,Richmond Road,Casual Dining,"Chicken Lollipop, Crispy Spinach Chicken",Chinese,500.0
Aromas Of South,Yes,No,3.7,46,Race Course Road,Casual Dining,"Appam, Coffee",South Indian,1000.0
Allana Kabab,Yes,No,3.3,4,Richmond Road,Quick Bites,,North Indian,200.0
Home Treat,Yes,No,3.1,7,Brigade Road,Quick Bites,,North Indian,150.0
Manjit Da Dhaba,Yes,No,4.3,783,Frazer Town,Quick Bites,"Lassi, Shahi Paneer, Kheer, Paneer Bhurji, Methi Paratha, Paneer Parantha, Stuffed Paratha",North Indian,300.0
Halli Mane,Yes,No,3.2,5,Majestic,Quick Bites,,South Indian,300.0
Taj Hotel,Yes,No,3.7,111,Shivajinagar,Casual Dining,"Ghee Rice, Mutton Biryani, Seekh Kebab, Paratha, Tandoori Chicken, Kalmi Kebab","North Indian, Chinese",550.0
Foody's,Yes,No,3.8,170,Shanti Nagar,Quick Bites,"Paratha, Chaat, Masala Dosa, Pav Bhaji, Tea, Kulcha, Filter Coffee","North Indian, South Indian",250.0
Masala Oota,Yes,No,3.6,79,Residency Road,Quick Bites,"Donne Chicken Biryani, Akki Rottis, Roti, Mutton Chops, Chicken Curry, Vada, Coffee","South Indian, Biryani",500.0
Kadai Crust - Amma Veetu Samayal,Yes,No,3.8,263,Indiranagar,"Takeaway, Delivery","Egg Pepper Fry, Egg Curry, Chicken Biryani, Jeera Rice, Ghee Rice, Chicken Kheema Dosa, Fish Fry","Chettinad, South Indian, Biryani",700.0
Juice Shop,Yes,No,3.3,11,Brigade Road,Quick Bites,,"Street Food, Beverages",200.0
Fava,No,Yes,4.4,2039,Lavelle Road,"Casual Dining, Bar","Gnocchi, Cocktails, Pizza, Salads, Creme Brulee, Pasta, Sangria","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",1200.0
Amber Rush Restobar,No,Yes,4.1,93,Residency Road,Pub,"Cocktails, Pizza, Fries, Wings, Mango Phirni, Fish Grill","Continental, Chinese, Fast Food",1000.0
Bootlegger,No,No,4.1,1543,Lavelle Road,Pub,"Beer, Cocktails, Beef Steak, Beef Chilli, Nachos, Pasta, Pizza","Continental, Steak",1200.0
ThrowBack - Pub & Dine,No,No,3.9,234,Langford Town,"Bar, Casual Dining","Cocktails, Pizza, French Fries","Italian, North Indian, Continental",1000.0
Shaken & Stirred,Yes,No,3.9,84,Race Course Road,"Bar, Casual Dining","Seekh Kebab, Paneer Tikka, Beer, Fish Tikka, Kala Jamun, Biryani, Long Island Iced Tea","Continental, North Indian, Chinese",1500.0
Sri Ayodhya Veg,Yes,No,3.6,24,Vasanth Nagar,Quick Bites,,"South Indian, North Indian, Chinese",300.0
Hotel Fine,Yes,No,3.5,24,Vasanth Nagar,Casual Dining,,"North Indian, Chinese",450.0
Hyderabad Biryaani House,No,No,4.3,1348,Richmond Road,Casual Dining,"Hyderabadi Biryani, Haleem, Chicken Biryani, Andhra Biryani, Mutton Biryani, Ghee Rice, Butter Chicken","Biryani, North Indian, Chinese",550.0
The Bangalore Cafe,No,Yes,4.1,473,Shanti Nagar,Casual Dining,"Pasta, Coffee, Chaat, Paneer Pizza, Tawa Pulav, Aloo Biryani, Paratha","Modern Indian, North Indian, Pizza, Continental, Beverages",800.0
Sakae Japanese Restaurant,No,Yes,4.3,518,Shanti Nagar,Casual Dining,"Sushi, Miso Soup, Steak, Tea, Ramen, Rolls, Tempura",Japanese,1400.0
Green Onion,No,No,4.3,1187,Residency Road,Casual Dining,"Noodles, Coriander Soup, Chicken Lollipop, Honey Potato, Momos, Schezwan Fried Rice, Chicken Drumstick",Chinese,550.0
Art of Delight,No,No,4.4,1896,Residency Road,Dessert Parlor,"Waffles, Chocolate Sundae, Mango Ice Cream, Nutella Cheesecake, Salsa, Banana Split, Hot Chocolate Fudge","Ice Cream, Desserts, Beverages",400.0
Khazana Food Paradise,No,No,4.1,356,Richmond Road,Quick Bites,"Beef Biryani, Chicken Biryani, Chicken Kebab, Mutton Biryani, Beef Kabab, Paratha, Ghee Rice","North Indian, Biryani",400.0
Mandarin Box,No,No,3.9,80,Church Street,Quick Bites,"Momos, Noodles, Chop Suey",Chinese,500.0
Pashto,No,No,4.1,765,Residency Road,Casual Dining,"Biryani, Kulfi Faluda, Peshawari Paneer, Dal Tadka, Yakhni Shorba, Tandoori Roti, Phirni","North Indian, Mughlai, Afghan",800.0
Somilan Steak House,No,No,4.3,524,Church Street,Casual Dining,"Salads, Beef Steak, Pork Chops, Crispy Pork, Wine, Chicken Salad, Pork Ribs","North Eastern, Asian, Naga, Steak, Momos",800.0
IceBreakers,No,No,4.3,183,Church Street,Dessert Parlor,"Waffles, Ice Cream Roll, Brownie Fudge, Chocolate Icecreams","Desserts, Ice Cream",400.0
Juice Junction,No,No,4.0,101,St. Marks Road,Quick Bites,"Sandwiches, Fruit Bowl, Panipuri, Corn Sandwich, Palak Paneer, Arabian Grape Juice, Cheesy Grilled Sandwich","Juices, Fast Food",150.0
Konark Vegetarian Restaurant,No,No,3.9,155,Lavelle Road,Casual Dining,"Pav Bhaji, Chaat, Vada, Vegetarian, Masala Dosa, Idli, Brownie","North Indian, Chinese, Continental, South Indian",600.0
Sugarberryz Cakery,No,No,3.9,52,Commercial Street,"Takeaway, Delivery","Chocolate Cake, Cup Cake","Bakery, Desserts",1200.0
The Biryani Paradise,No,No,3.8,32,Richmond Road,Quick Bites,,"Biryani, South Indian",350.0
Stars 'N' Stripes,No,No,2.7,77,MG Road,Quick Bites,"Burgers, Biryani, Cheesecake","North Indian, Chinese, Fast Food",500.0
Juicemaker,No,No,3.8,29,Cunningham Road,Beverage Shop,,"Beverages, Fast Food",400.0
New Prashanth Naati Style,No,No,3.8,29,Cunningham Road,Casual Dining,,"South Indian, Biryani",400.0
California Burrito,No,No,4.0,53,Cunningham Road,Quick Bites,"Nachos, California Burrito, Rice Bowl, Salads","Mexican, Fast Food",400.0
Mel's Korner,No,No,3.8,95,Church Street,Quick Bites,"Shawarma, Burgers, Beef Burger, Potato Wedges, Vegetable Noodles, Cheese Fatayer, Garlic Fries",Fast Food,500.0
Iyengars' Bakery,No,No,3.4,14,Richmond Road,Bakery,,Bakery,200.0
Sidewalk Cafe - Nahar's Heritage Hotel,No,No,3.9,134,St. Marks Road,Casual Dining,"Pizza, Pasta, Waffles, Sandwich, Apple Pie, Sandwiches, Burgers","Italian, Fast Food",800.0
Mojo Pizza - 2X Toppings,No,No,4.3,28,Residency Road,"Takeaway, Delivery",,Pizza,600.0
Halli Oota,No,No,3.3,6,St. Marks Road,Casual Dining,,"South Indian, Biryani",450.0
Pop'z Kitchen,No,No,3.7,23,Lavelle Road,Bakery,,Bakery,250.0
Chocolate Junction,No,No,3.8,29,Ulsoor,Dessert Parlor,,Desserts,200.0
Ultra Biriyani Paradise,No,No,3.3,9,Shanti Nagar,Quick Bites,,Biryani,300.0
Stir Fry,No,No,4.0,209,Residency Road,Casual Dining,"Spring Roll, Chicken Lollipop, Chaap, Momos, Lamb, Chicken Manchow Soup, Hakka Noodles","Chinese, Momos",500.0
Natural Ice Cream,No,No,4.2,221,St. Marks Road,Dessert Parlor,"Mango Ice Cream, Tender Coconut Ice Cream, Chips, Chocochip Ice Cream, Waffle Cone","Ice Cream, Desserts",150.0
New Arya Bhavan,No,No,3.1,23,MG Road,Quick Bites,,"Street Food, Beverages, North Indian",300.0
Mughals Restaurant,No,No,3.2,17,Shivajinagar,Casual Dining,,"Mughlai, North Indian, Chinese, Biryani, Seafood",550.0
Sri Krishna Foodline,No,No,3.3,4,Ulsoor,Quick Bites,,North Indian,100.0
Indy's Comfort Food,No,No,4.1,399,Shivajinagar,Quick Bites,"Gobhi Pakoda, Bajji, Raita, Ginger Tea, Jalapeno Cheese Poppers, Mojito, Chai","North Indian, Beverages, Fast Food",300.0
Chaithanya Andhra Style Family Restaurant,No,No,3.2,4,Cunningham Road,Casual Dining,,"Andhra, North Indian, Chinese",600.0
The Sugar Therapy,No,No,3.8,25,Richmond Road,"Dessert Parlor, Bakery",,"Desserts, Bakery",500.0
Al Sadique Restaurant,No,No,3.5,31,Frazer Town,Quick Bites,,"Mughlai, North Indian, Street Food",350.0
Shake N Snack,No,No,3.6,18,Shanti Nagar,Beverage Shop,,"Beverages, Fast Food",200.0
New Kohinoor Hotel,No,No,3.2,9,Commercial Street,Casual Dining,,North Indian,450.0
RR Catering,No,No,3.4,10,MG Road,Quick Bites,"Garlic Naan, Tandoori Chicken, Basmati Rice","North Indian, Chinese, Biryani",350.0
Ambur Hot Dum Biryani,No,No,3.1,6,Shanti Nagar,Quick Bites,,"Biryani, Kebab",250.0
Kanis Kitchen,No,No,3.6,14,Shivajinagar,Quick Bites,,South Indian,250.0
Hit and Run,No,No,3.7,15,Central Bangalore,Food Truck,,"Fast Food, Continental",350.0
Bhaiyajees,No,No,3.7,16,Richmond Road,"Takeaway, Delivery",,"North Indian, South Indian",300.0
Le ChÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©ri,No,No,3.8,33,Shanti Nagar,Delivery,,"Bakery, Desserts",350.0
The Donut Baker,No,No,3.0,31,Ulsoor,"Bakery, Dessert Parlor",,Desserts,150.0
Cake of the Day,No,No,3.5,19,Majestic,"Bakery, Dessert Parlor",,Bakery,150.0
Bhaiya Ji Food Court,No,No,3.0,16,Ulsoor,Quick Bites,,"North Indian, Street Food",150.0
Zaiqa,No,No,3.4,8,Richmond Road,Quick Bites,,"North Indian, Chinese",350.0
Rescafe,No,No,3.8,41,Residency Road,Quick Bites,"Samosa, Tea",Beverages,100.0
Bhaiyaji Food Court,No,No,3.4,27,MG Road,Quick Bites,"Paratha, Samosa, Vada Pav","North Indian, Mithai",300.0
Tandoor Da Funda,No,No,3.6,15,MG Road,Quick Bites,,North Indian,350.0
Batter Splatter,No,No,3.3,5,Lavelle Road,Bakery,,Bakery,350.0
Malabar Kitchen,Yes,No,3.2,5,Commercial Street,Quick Bites,,"Kerala, North Indian, Chinese",300.0
Vasudev Adiga's,No,No,3.0,53,Church Street,Quick Bites,"Tea, Filter Coffee, Pongal, Masala Dosa","South Indian, North Indian, Chinese, Street Food",250.0
Skyline Family Restaurant,Yes,No,3.4,33,Shanti Nagar,Casual Dining,,"North Indian, Chinese, Seafood, Mangalorean",550.0
Casa Express,No,No,2.6,26,Residency Road,Quick Bites,,"Chinese, Italian",400.0
Pappu Chaiwalla,No,No,3.3,33,St. Marks Road,Quick Bites,,"Fast Food, Tea, Beverages",300.0
The French Loaf,Yes,No,2.8,142,Frazer Town,"Bakery, Quick Bites","Coffee, Pasta, Sandwiches, Sunday Breakfast, Apple Pie, Hot Chocolate, Chicken Quiche","Bakery, Desserts",300.0
Siddique Kabab Centre,Yes,No,3.9,430,Frazer Town,Casual Dining,"Chicken Grill, Chicken Biryani, Rolls, Ghee Rice, Tandoori Chicken, Seekh Roll, Chicken Lollipop","Mughlai, Kebab, Chinese",550.0
Akshaya Sambrama Veg Restaurant,Yes,No,3.2,13,Vasanth Nagar,Quick Bites,,"South Indian, Chinese",200.0
Nawab's Kolkatta Roll,Yes,No,3.4,4,Brigade Road,Kiosk,,"Street Food, Rolls",150.0
Royal Restaurant,No,No,3.2,7,Shivajinagar,Quick Bites,,"North Indian, Chinese",200.0
Shree Sadguru Refreshment,Yes,No,3.2,4,Ulsoor,Quick Bites,,"South Indian, Chinese",400.0
Shan Restaurant,Yes,No,3.0,20,Brigade Road,Casual Dining,,"Kerala, Chinese, South Indian, North Indian",400.0
